ID,BBS,IOUT,MINHITS,P1,P2,P3,P4,P5,Mean
5_1e-05_1,5,0.00001,1,86.07,53.28,82.27,91.89,56.5,74.002
5_5e-05_1,5,0.00005,1,90.07,81.35,96.58,92.95,78.06,87.802
5_1e-05_1,5,0.00001,1,86.07,53.28,82.27,91.89,56.5,74.002
5_5e-05_1,5,0.00005,1,90.07,81.35,96.58,92.95,78.06,87.802
5_0.0001_1,5,0.0001,1,91.73,90.19,96.58,92.98,82.1,90.716
5_0.0005_1,5,0.0005,1,91.73,92.49,96.58,92.94,82.1,91.168
5_0.001_1,5,0.001,1,91.73,92.49,96.58,92.94,82.1,91.168
10_1e-05_1,10,0.00001,1,91.89,92.54,96.62,93.1,82.35,91.3
10_5e-05_1,10,0.00005,1,91.89,92.54,96.62,93.1,82.35,91.3
10_1e-05_1,10,0.00001,1,91.89,92.54,96.62,93.1,82.35,91.3
10_5e-05_1,10,0.00005,1,91.89,92.54,96.62,93.1,82.35,91.3
10_0.0001_1,10,0.0001,1,91.89,92.54,96.62,93.1,82.35,91.3
10_0.0005_1,10,0.0005,1,91.89,92.54,96.62,93.1,82.35,91.3
10_0.001_1,10,0.001,1,91.89,92.54,96.62,93.1,82.35,91.3
15_1e-05_1,15,0.00001,1,92.01,92.6,96.69,93.12,82.43,91.37
15_5e-05_1,15,0.00005,1,92.01,92.6,96.69,93.12,82.43,91.37
15_1e-05_1,15,0.00001,1,92.01,92.6,96.69,93.12,82.43,91.37
15_5e-05_1,15,0.00005,1,92.01,92.6,96.69,93.12,82.43,91.37
15_0.0001_1,15,0.0001,1,92.01,92.6,96.69,93.12,82.43,91.37
15_0.0005_1,15,0.0005,1,92.01,92.6,96.69,93.12,82.43,91.37
15_0.001_1,15,0.001,1,92.01,92.6,96.69,93.12,82.43,91.37
20_1e-05_1,20,0.00001,1,92.02,92.55,96.61,93.31,82.42,91.382
20_5e-05_1,20,0.00005,1,92.02,92.55,96.61,93.31,82.42,91.382
20_1e-05_1,20,0.00001,1,92.02,92.55,96.61,93.31,82.42,91.382
20_5e-05_1,20,0.00005,1,92.02,92.55,96.61,93.31,82.42,91.382
20_0.0001_1,20,0.0001,1,92.02,92.55,96.61,93.31,82.42,91.382
20_0.0005_1,20,0.0005,1,92.02,92.55,96.61,93.31,82.42,91.382
20_0.001_1,20,0.001,1,92.02,92.55,96.61,93.17,82.42,91.354
25_1e-05_1,25,0.00001,1,92.08,92.55,96.61,93.39,82.46,91.418
25_5e-05_1,25,0.00005,1,92.08,92.55,96.61,93.39,82.46,91.418
25_1e-05_1,25,0.00001,1,92.08,92.55,96.61,93.39,82.46,91.418
25_5e-05_1,25,0.00005,1,92.08,92.55,96.61,93.39,82.46,91.418
25_0.0001_1,25,0.0001,1,92.08,92.55,96.61,93.39,82.46,91.418
25_0.0005_1,25,0.0005,1,92.08,92.55,96.61,93.39,82.46,91.418
25_0.001_1,25,0.001,1,92.08,92.55,96.61,93.39,82.46,91.418
30_1e-05_1,30,0.00001,1,92.11,92.66,96.69,93.39,82.53,91.476
30_5e-05_1,30,0.00005,1,92.11,92.66,96.69,93.39,82.53,91.476
30_1e-05_1,30,0.00001,1,92.11,92.66,96.69,93.39,82.53,91.476
30_5e-05_1,30,0.00005,1,92.11,92.66,96.69,93.39,82.53,91.476
30_0.0001_1,30,0.0001,1,92.11,92.66,96.69,93.39,82.53,91.476
30_0.0005_1,30,0.0005,1,92.11,92.66,96.69,93.39,82.53,91.476
30_0.001_1,30,0.001,1,92.11,92.66,96.69,93.39,82.53,91.476
35_1e-05_1,35,0.00001,1,92.09,92.66,96.67,93.39,82.54,91.47
35_5e-05_1,35,0.00005,1,92.09,92.66,96.67,93.39,82.54,91.47
35_1e-05_1,35,0.00001,1,92.09,92.66,96.67,93.39,82.54,91.47
35_5e-05_1,35,0.00005,1,92.09,92.66,96.67,93.39,82.54,91.47
35_0.0001_1,35,0.0001,1,92.09,92.66,96.67,93.39,82.54,91.47
35_0.0005_1,35,0.0005,1,92.09,92.66,96.67,93.39,82.54,91.47
35_0.001_1,35,0.001,1,92.09,92.66,96.67,93.39,82.54,91.47
40_1e-05_1,40,0.00001,1,92.09,92.65,96.67,93.47,82.56,91.488
40_5e-05_1,40,0.00005,1,92.09,92.65,96.67,93.47,82.56,91.488
40_1e-05_1,40,0.00001,1,92.09,92.65,96.67,93.47,82.56,91.488
40_5e-05_1,40,0.00005,1,92.09,92.65,96.67,93.47,82.56,91.488
40_0.0001_1,40,0.0001,1,92.09,92.65,96.67,93.47,82.56,91.488
40_0.0005_1,40,0.0005,1,92.09,92.65,96.67,93.47,82.56,91.488
40_0.001_1,40,0.001,1,92.09,92.65,96.67,93.41,82.56,91.476
45_1e-05_1,45,0.00001,1,92.08,92.67,96.67,93.46,82.55,91.486
45_5e-05_1,45,0.00005,1,92.08,92.67,96.67,93.46,82.55,91.486
45_1e-05_1,45,0.00001,1,92.08,92.67,96.67,93.46,82.55,91.486
45_5e-05_1,45,0.00005,1,92.08,92.67,96.67,93.46,82.55,91.486
45_0.0001_1,45,0.0001,1,92.08,92.67,96.67,93.46,82.55,91.486
45_0.0005_1,45,0.0005,1,92.08,92.67,96.67,93.46,82.55,91.486
45_0.001_1,45,0.001,1,92.08,92.66,96.67,93.46,82.55,91.484
50_1e-05_1,50,0.00001,1,92.08,92.71,96.67,93.44,82.55,91.49
50_5e-05_1,50,0.00005,1,92.08,92.71,96.67,93.44,82.55,91.49
50_1e-05_1,50,0.00001,1,92.08,92.71,96.67,93.44,82.55,91.49
50_5e-05_1,50,0.00005,1,92.08,92.71,96.67,93.44,82.55,91.49
50_0.0001_1,50,0.0001,1,92.08,92.71,96.67,93.44,82.55,91.49
50_0.0005_1,50,0.0005,1,92.08,92.71,96.67,93.44,82.55,91.49
50_0.001_1,50,0.001,1,92.08,92.71,96.67,93.44,82.55,91.49
